Player,Ballers Rank,ADP,Projected Pts.,Risk,Tier,Vid,Notes
Rob Gronkowski NE (9),1,1.12,177.6,4,TIER 1,,"Gronk has finished as the top TE two years in a row and it wasn't even close. He averages 27 more points than the #2 TE in that span and guarantees you a great point advantage at that position. But in 80 games, he's never played without Tom Brady who will be missing for the first 4 games. He'll cost you a first round pick, which makes the pick a little risky."
Jordan Reed WAS (9),2,4.05,151.47,6.03,TIER 2,,"Rule 86 says that if Jordan Reed is playing, he's in your lineup. In a PPR setting last year he actually outpaced Gronk for the games he played. If he can stay on the field, he could be a better draft day value than Gronk as he can be grabbed in the third or fourth. But his injury history is a major concern. In three years he's missed 15 games or almost 1 out of every 3 games."
Coby Fleener NO (5),3,6.11,135.13,3.67,TIER 3,,"The saints utilize the TE better than any team over the last 6 seasons. Last year Benjamin Watson finished as a top TE at the ripe old age of 35. Fleener has size, speed, youth, and route running ability to exceed what Watson did and should be one of the steals of the draft if you can grab him late."
Greg Olsen CAR (7),4,5.01,134.87,1.37,TIER 3,,"Greg Olsen is tried and true. He has back to back 1,000 yard seasons and hasn't missed a game in EIGHT straight seasons. His reliability makes him a plug and play start. He won't finish #1, but he won't finish out of the top 8 either."
Gary Barnidge CLE (13),4,9.06,132.77,3.83,TIER 3,,"Maximum Barnidge came out of NOWHERE last year to finish as the 2nd or 3rd best TE depending on your scoring system. While he was better with McCown at the helm, he was still used quite a bit when Manziel took over. Add in the fact that the Browns gave him a hefty contract this offseason and there is all the reason to believe that he can reproduce what he did last year no matter who is under center. Hue Jackson did a great job last year using Tyler Eifert in the redzone and he is bringing his offense with him to the Browns. There just aren't many options for Cleveland, other than throwing the ball his way often, which is something you look for in a fantasy TE."
Travis Kelce KC (5),6,6.06,127.43,3.63,TIER 3,,"Zeus was highly touted, highly drafted, and highly disappointed you last year in fantasy football. He didn't finish terrible, but for the capital it took to get him, he didn't return. This year we should see much of what we saw last year from him. He's one of the best Tight Ends in the league and dynamic when he gets used in the passing game. I expect a few more TDs to fall his way this year and he has the best strength of schedule in 2016 for the Tight End position. All of that could make Kelce a draft day steal if you aren't too let down from last season."
Antonio Gates SD (11),7,11.03,123.3,5,TIER 4,,"Gates could be the steal of the position this year. Yes, he's old. Yes, he's broken down. Yes, he's still a dominate weapon for Philip Rivers who is being drafted at the very back of the draft. Ladarius Green is out of town and Hunter Henry is only a rookie who won't make a big impact. Gates is the go to 3rd down guy and utilized well in the red zone. The Chargers also boast the third best schedule for fantasy tight ends this year."
Tyler Eifert CIN (9),8,7.02,118.9,5.5,TIER 4,,"This year's TE darling to many people is Eifert. He is a monster in the red zone and provided great value for where he got picked up last year. But there is reason to worry about TD regression given his relatively low reception total. He could certainly finish high, but he'll cost you a high pick to get. He's boom or bust, but you could do worse as he should reel in at least 8 TDs."
Zach Ertz PHI (4),9,10.09,117.5,5.03,TIER 4,,"Ertz is a favorite of The Fantasy Footballers. He is a good route runner who should be able to do some special things this year. He took a big step forward in his third season jumping up to 75 receptions and over 850 yards. The problem was TDs. Despite 75 catches, he only had 2 touchdowns. Most of the blame for this should not go his way though as Bradford targeted, and missed, Ertz in the redzone numerous times last year. They started finding their groove late last year and with another year together, if Bradford is the starter, Ertz should have a very good fantasy season."
Eric Ebron DET (10),10,13.1,117.97,4.13,TIER 4,,"Eric Ebron was the 10th overall pick by the Lions when he came out of college for a reason. By every (non-Gronk) standard, tight ends take a few years to come into their own and Ebron is coming into his third year. Even still, his first two years showed glimpses of what could be to come grabbing five TDs in 2015. With Calvin Johnson now retired, there is a huge red zone hole that needs to be filled. If their top 10 pick is able to step up and fill that void, Ebron could be the steal of the tight end class for 2016"
Delanie Walker TEN (13),11,7.09,112.43,4.5,TIER 4,,"Delanie Walker just signed a new contract which is always a good sign for a player being used in the same role. That being said, the Titans want to run the ball more this year with their ""exotic smashmouth"" offense. When you add in that they will have Kendall Wright healthy, a more experienced DGB, and brought in new passcatcher Rishard Matthews into town we expect Delanie Walker to come down a bit from his career high season last year."
Julius Thomas JAC (5),13,9.04,106.8,4.37,TIER 5,,"Julius Thomas was a forgotten man last year after his injury derailed a third of his season. During that time Blake Bortles found new TD targets in the Allen bros and didn't seem to use him too much in the redzone. With JT, he needs touchdowns. His value in the 2013-2014 seasons came entirely from his heavy touchdown output of 12 per year. He is not a volume receiver, so if you draft him you have to hope he gets more involved in the red zone offense or plan to stream the position."
Ladarius Green PIT (8),13,8.06,103.9,4.83,TIER 5,,"Ladarius Green has been a draft day sleeper for two years in a row, so why not make it a third? Usually, if a guy with ""promise"" and ""potential"" doesn't pan out for two years in a row, you should bail out and not fall victim to it again. However, his change of scenery changes all that. The Steelers sought him heavily in free agency after the retirement of Heath Miller, a tight end that was used with volume by Big Ben. The size, measurables, and talent are all there for Green. Plus, in a few games without Antonio Gates last year, we saw him explode for fantasy. That means that if you're drafting a late tight end, you're taking a risk and looking for upside. That's exactly what Ladarius Green gives you in 2016."
Jason Witten DAL (7),13,13.09,101.13,1.5,TIER 5,,"Last year seems like a down year for Jason Witten, but it really wasn't. Considering that he lost Tony Romo for most of the year and the team's offense was just downright terrible, he still had over 100 targets and came down with 77 balls. The problem was that he only hit pay-dirt 3 times (he averaged 6 touchdowns a year over the previous 5 seasons). He's still as reliable as they come and a huge part of their offense. He should be what he always is, a low end TE1 and he'll cost you nothing at the draft."
Zach Miller CHI (9),16,14.03,103.93,5,TIER 5,,"The other Zach Miller became a solid waiver wire pickup last season when Martellus Bennett went down. The crazy part for Miller is, he played a total of four games from 2011-2014. He wisely went looking for an immediate payday at the end of the season, but wiser than that nobody offered him anything in the range he was looking for. Eventually he agreed to terms with the Bears. Miller is an intriguing guy if you are looking to completely punt the TE position."
Dwayne Allen IND (10),12,13.01,109.87,4.83,TIER 6,,"The last several years there has been an argument as to who is the better tight end to draft from the Colts. Some people preferred the more-involved Coby Fleener and some preferred the better red zone option, Dwayne Allen. Well now Dwayne Allen is both of those. The Colts have promised to have him more involved in the offense and he was already a key part of their red zone when Andrew Luck was in tow."
Vance McDonald SF (8),17,0.00,101.67,4.03,TIER 6,,"Had sneaky fantasy value for a tiny chunk of the season. New coach Chip Kelly has seen some successful TE campaigns emerge. McDonald will likely go undrafted in your leagues, but he's a name to keep in mind for the waivers, or can even be drafted in very deep leagues."
Will Tye NYG (8),18,0.00,96.87,5.03,TIER 6,,"Tye was an UDFA that fought his way onto the Giants roster. Word from those that cover the team feel Tye will be the starter headed into the season. Tye didn't have numbers to blow you away, but he was involved in the offense and received his fair share of targets. If you stack your team with depth and wait on TE, Tye should be in consideration."
